crl+AF8-uri,crl+AF8-size,num+AF8-of+AF8-revoked,used+AF8-by,amortized+AF8-cost
http://developer.apple.com/certificationauthority/wwdrca.crl,28384038,692281,1,28384038
http://crl.oces.certifikat.dk/oces.crl,7680785,333928,1,7680785
http://pki.dimc.dhs.gov/DHS+AF8-CA1.crl,11927457,280838,1,11927457
http://cdp1.ssp+AC0-strong+AC0-id.net/CDP/HHS+AC0-SSP+AC0-CA+AC0-B7.crl,10062960,162309,2,5031480
http://www.accv.es/gestcert/accv+AF8-ca2.crl,2214761,76914,8,276846
http://www.accv.es/gestcert/accv+AC0-ca2.crl,2214761,76914,2,1107381
http://SVRSecure+AC0-G3+AC0-crl.verisign.com/SVRSecureG3.crl,1165603,33290,6210,188
http://crl.entrust.net/level1c.crl,1418189,32502,1357,1046
http://SVRIntl+AC0-G3+AC0-crl.verisign.com/SVRIntlG3.crl,686179,19591,2997,229
http://202.109.194.229/download/FJCA.crl,926710,18907,1,926710
http://crl.buypass.no/crl/BPClass3CA1.crl,468231,18224,6,78039
http://crl.xi.tcclass2+AC0-ii.trustcenter.de/crl/v2/tc+AF8-class2+AF8-L1+AF8-CA+AF8-XI.crl,626316,17693,96,6525
http://crl.comodoca.com/PositiveSSLCA.crl,619057,17425,1799,345
http://certificates.godaddy.com/repository/godaddyextendedissuing4.crl,605200,16790,30,20174
http://postarca.posta.si/crl/postarca.crl,587851,15876,1,587851
http://repository.publicca.hinet.net/crl/PubCA/complete.crl,701420,14306,5,140284
http://www.disig.sk/ca/crl/ca+AF8-disig.crl,395412,14221,2,197706
http://cert.managedpki.com/pkioverheid/crl/GetronicsCSPJustitieCAG2/LatestCRL.crl,584048,13275,1,584048
http://svr+AC0-dv+AC0-crl.thawte.com/ThawteDV.crl,431313,12311,5443,80
http://nicca.nic.in/crl+AF8-142926D2FF14439B38F9.crl,355400,12068,12,29617
http://svr+AC0-ov+AC0-crl.thawte.com/ThawteOV.crl,397937,11358,4851,83
http://www.sigen+AC0-ca.si/crl/sigen+AC0-ca.crl,404085,10909,1,404085
http://www.cadence.com/cadencepki/crls/cdnsecure/Cadence+ACU-20Secure+ACU-20Server+ACU-20Authority(1).crl,292091,10007,1,292091
http://epscd2.catcert.net/crl/ec+AC0-safp.crl,487594,9930,2,243797
http://crl.starfieldtech.com/sfs1+AC0-23.crl,392785,9793,673,584
http://crl.starfieldtech.com/sfs1+AC0-24.crl,390360,9738,649,602
http://crl.godaddy.com/gds1+AC0-79.crl,379054,9456,672,565
http://crl.godaddy.com/gds1+AC0-77.crl,375539,9362,665,565
http://crl.godaddy.com/gds1+AC0-76.crl,371838,9271,662,562
http://crl.godaddy.com/gds1+AC0-78.crl,370728,9243,659,563
http://crl.godaddy.com/gds1+AC0-74.crl,369909,9222,641,578
http://repository.publicca.hinet.net/crl/1000+AC0-1/complete.crl,451911,9212,4,112978
http://crl.godaddy.com/gds1+AC0-72.crl,368019,9178,537,686
http://crl.godaddy.com/gds1+AC0-73.crl,367663,9167,583,631
http://crl.godaddy.com/gds1+AC0-71.crl,367359,9158,494,744
http://crl.godaddy.com/gds1+AC0-81.crl,365708,9120,633,578
http://crl.godaddy.com/gds1+AC0-80.crl,365255,9108,708,516
http://crl.godaddy.com/gds1+AC0-75.crl,364960,9103,668,547
http://crl.godaddy.com/gds1+AC0-82.crl,362924,9056,724,502
http://epscd2.catcert.net/crl/ec+AC0-al.crl,443795,9036,8,55475
http://crl.godaddy.com/gds1+AC0-83.crl,359243,8957,687,523
http://crl.godaddy.com/gds1+AC0-84.crl,353138,8803,693,510
http://crl.godaddy.com/gds1+AC0-87.crl,350183,8729,667,526
http://ccd.serpro.gov.br/lcr/acserprorfbv3.crl,306312,8727,4,76578
http://crl.godaddy.com/gds1+AC0-85.crl,349637,8718,686,510
http://crl.godaddy.com/gds1+AC0-88.crl,338282,8435,734,461
http://crl.godaddy.com/gds1+AC0-86.crl,336945,8399,719,469
http://crl.comodoca.com/PositiveSSLCA2.crl,297922,8379,8864,34
http://crl1.hongkongpost.gov.hk/crl/eCertCA1+AC0-10CRL1.crl,301920,8372,17,17760
http://crl.godaddy.com/gds1+AC0-89.crl,330092,8232,701,471
http://crl.godaddy.com/gds1+AC0-90.crl,322620,8044,649,498
http://crl.comodoca.com/COMODOHigh+AC0-AssuranceSecureServerCA.crl,277574,7805,4789,58
http://crl.godaddy.com/gds1+AC0-91.crl,306951,7656,680,452
